24197 200
0 47 518
1 69 47
0 3 531
1 53 3
0 27 504
1 65 27
0 13 520
1 77 13
0 84 529
1 86 84
0 43 544
1 33 43
0 12 528
1 76 12
0 32 546
1 9 32
0 28 549
1 41 28
0 82 519
1 14 82
0 95 527
1 98 95
0 67 541
1 30 67
0 22 510
1 71 22
0 21 540
1 63 21
0 85 534
1 100 85
0 66 502
1 52 66
0 62 538
1 72 62
0 64 542
1 11 64
0 15 514
1 10 15
0 26 545
1 18 26
0 34 506
1 38 34
0 42 517
1 39 42
0 48 536
1 20 48
0 55 505
1 60 55
0 89 503
1 36 89
0 83 512
1 45 83
0 7 515
1 80 7
0 81 516
1 73 81
0 40 537
1 96 40
0 1 526
1 56 1
0 61 532
1 6 61
0 25 550
1 46 25
0 31 525
1 92 31
0 97 508
1 54 97
0 37 511
1 29 37
0 35 507
1 70 35
0 16 548
1 68 16
0 99 524
1 50 99
0 91 535
1 44 91
0 93 533
1 19 93
0 2 509
1 5 2
0 87 522
1 78 87
0 90 530
1 58 90
0 23 539
1 8 23
0 24 543
1 74 24
0 4 547
1 75 4
0 59 523
1 79 59
0 49 521
1 51 49
0 94 513
1 88 94
0 17 501
1 57 17
0 1 812
0 2 590
0 3 706
0 4 710
0 5 403
0 6 349
0 7 888
0 8 409
0 9 100
0 10 179
0 11 171
0 12 723
0 13 702
0 14 104
0 15 552
0 16 697
0 17 911
0 18 188
0 19 399
0 20 208
0 21 656
0 22 647
0 23 933
0 24 609
0 25 840
0 26 690
0 27 690
0 28 740
0 29 374
0 30 113
0 31 720
0 32 899
0 33 91
0 34 932
0 35 586
0 36 276
0 37 980
0 38 195
0 39 201
0 40 897
0 41 101
0 42 589
0 43 938
0 44 391
0 45 280
0 46 357
0 47 991
0 48 556
0 49 805
0 50 390
0 51 425
0 52 153
0 53 35
0 54 364
0 55 903
0 56 347
0 57 435
0 58 408
0 59 714
0 60 259
0 61 860
0 62 996
0 63 133
0 64 745
0 65 42
0 66 715
0 67 794
0 68 388
0 69 2
0 70 378
0 71 119
0 72 157
0 73 325
0 74 412
0 75 416
0 76 97
0 77 59
0 78 404
0 79 416
0 80 300
0 81 927
0 82 738
0 83 645
0 84 987
0 85 956
0 86 77
0 87 819
0 88 428
0 89 694
0 90 838
0 91 923
0 92 358
0 93 895
0 94 762
0 95 977
0 96 342
0 97 753
0 98 111
0 99 934
0 100 148
32764 100
0 1 475
0 2 540
0 3 731
0 4 50
0 5 525
0 6 350
0 7 313
0 8 240
0 9 65
0 10 571
0 11 340
0 12 302
0 13 548
0 14 724
0 15 279
0 16 320
0 17 183
0 18 26
0 19 90
0 20 788
0 21 801
0 22 170
0 23 85
0 24 772
0 25 556
0 26 523
0 27 609
0 28 137
0 29 476
0 30 920
0 31 623
0 32 241
0 33 22
0 34 216
0 35 501
0 36 24
0 37 61
0 38 198
0 39 25
0 40 112
0 41 723
0 42 865
0 43 557
0 44 124
0 45 349
0 46 298
0 47 769
0 48 172
0 49 163
0 50 624
0 51 348
0 52 565
0 53 461
0 54 120
0 55 379
0 56 20
0 57 37
0 58 114
0 59 20
0 60 390
0 61 355
0 62 259
0 63 139
0 64 196
0 65 106
0 66 350
0 67 513
0 68 876
0 69 90
0 70 458
0 71 470
0 72 172
0 73 438
0 74 418
0 75 361
0 76 184
0 77 217
0 78 243
0 79 103
0 80 151
0 81 811
0 82 143
0 83 215
0 84 4
0 85 511
0 86 241
0 87 458
0 88 257
0 89 501
0 90 488
0 91 299
0 92 214
0 93 519
0 94 497
0 95 304
0 96 122
0 97 90
0 98 371
0 99 449
0 100 209
23422 166
0 29 240
1 66 29
0 1 267
1 2 1
0 59 120
1 90 59
0 59 188
1 70 59
0 100 670
1 9 100
0 29 797
1 21 29
0 23 785
1 41 23
0 61 451
1 79 61
0 71 431
1 12 71
0 71 928
1 20 71
0 15 545
1 38 15
0 98 746
1 34 98
0 15 794
1 4 15
0 100 674
1 14 100
0 98 780
1 53 98
0 23 804
1 84 23
0 31 954
0 99 954
1 99 31
0 71 933
0 7 933
1 7 71
0 49 982
0 6 982
1 6 49
0 23 922
0 69 922
1 69 23
0 29 866
0 65 866
1 65 29
0 15 940
0 72 940
1 72 15
0 98 900
0 97 900
1 97 98
0 100 760
0 94 760
1 94 100
0 91 750
0 37 750
1 37 91
0 85 781
0 77 781
1 77 85
0 61 947
0 32 947
1 32 61
0 1 652
0 26 652
1 26 1
0 59 340
0 7 340
1 7 59
0 73 539
0 33 539
1 33 73
0 8 403
0 95 403
1 95 8
0 58 802
0 74 802
1 74 58
0 47 222
0 37 222
1 37 47
0 2 29
0 3 399
0 4 182
0 5 762
0 6 322
0 7 74
0 9 73
0 10 424
0 11 477
0 12 95
0 13 405
0 14 227
0 16 775
0 17 495
0 18 395
0 19 467
0 20 100
0 21 74
0 22 504
0 24 510
0 25 129
0 26 89
0 27 609
0 28 687
0 30 794
0 32 135
0 33 58
0 34 177
0 35 970
0 36 272
0 37 37
0 38 152
0 39 527
0 40 344
0 41 76
0 42 585
0 43 329
0 44 505
0 45 474
0 46 98
0 48 352
0 50 125
0 51 599
0 52 184
0 53 244
0 54 377
0 55 679
0 56 121
0 57 410
0 60 404
0 62 625
0 63 222
0 64 499
0 65 281
0 66 28
0 67 296
0 68 573
0 69 288
0 70 43
0 72 276
0 74 38
0 75 670
0 76 507
0 77 204
0 78 591
0 79 94
0 80 281
0 81 213
0 82 489
0 83 733
0 84 254
0 86 481
0 87 324
0 88 915
0 89 365
0 90 36
0 92 238
0 93 322
0 94 234
0 95 56
0 96 547
0 97 248
0 99 373
4740 276
0 8 660
1 3 8
0 61 207
1 32 61
0 26 243
1 83 26
0 10 392
1 93 10
0 75 759
1 66 75
0 31 921
1 89 31
0 61 588
1 11 61
0 51 656
1 65 51
0 88 284
1 22 88
0 26 787
1 27 26
0 71 695
1 96 71
0 60 371
1 29 60
0 24 323
1 36 24
0 60 501
1 37 60
0 46 413
1 15 46
0 55 627
1 80 55
0 46 447
1 90 46
0 33 720
1 91 33
0 95 705
1 77 95
0 35 664
1 28 35
0 5 746
1 84 5
0 23 929
1 48 23
0 34 753
1 72 34
0 61 979
1 67 61
0 7 844
1 74 7
0 56 704
1 38 56
0 39 683
1 9 39
0 14 759
1 54 14
0 51 938
1 17 51
0 50 717
1 87 50
0 71 770
1 94 71
0 50 895
1 4 50
0 33 834
1 53 33
0 13 803
1 12 13
0 34 792
1 85 34
0 75 883
1 69 75
0 14 832
1 49 14
0 47 884
1 18 47
0 71 806
1 16 71
0 13 881
1 64 13
0 14 868
1 45 14
0 13 917
1 40 13
0 50 942
1 25 50
0 13 982
1 44 13
0 51 985
1 86 51
0 50 947
1 76 50
0 13 996
0 78 996
1 78 13
0 61 992
0 78 992
1 78 61
0 50 952
0 78 952
1 78 50
0 23 946
0 76 946
1 76 23
0 31 922
0 76 922
1 76 31
0 47 914
0 76 914
1 76 47
0 75 938
0 86 938
1 86 75
0 14 914
0 44 914
1 44 14
0 79 908
0 76 908
1 76 79
0 7 877
0 40 877
1 40 7
0 33 931
0 42 931
1 42 33
0 71 840
0 42 840
1 42 71
0 34 821
0 45 821
1 45 34
0 26 808
0 45 808
1 45 26
0 5 786
0 16 786
1 16 5
0 95 709
0 16 709
1 16 95
0 56 800
0 45 800
1 45 56
0 39 951
0 78 951
1 78 39
0 35 816
0 42 816
1 42 35
0 8 695
0 4 695
1 4 8
0 68 644
