doh.sb  # 0.02 ms
doh.dns.sb  # 0.03 ms
dns.sb  # 0.07 ms
dns.pub  # 15.26 ms
doh.pub  # 15.37 ms
dns.alidns.com  # 17.64 ms
doh.18bit.cn  # 22.01 ms
dns.b612.me  # 27.61 ms
dns.guard.io  # 43.73 ms
anycast.dns.nextdns.io  # 46.01 ms
8888.google  # 48.26 ms
dns.google.com  # 48.52 ms
doh.familyshield.opendns.com  # 48.53 ms
dns.google  # 48.60 ms
cloud.198.games  # 48.72 ms
family.freedns.controld.com  # 49.25 ms
dns2.nextdns.io  # 49.32 ms
dns.nextdns.io  # 49.34 ms
freedns.controld.com  # 50.07 ms
adg.geili.me  # 50.28 ms
firefox.dns.nextdns.io  # 50.47 ms
doh.opendns.com  # 51.52 ms
doh.umbrella.com  # 52.06 ms
doh.sandbox.opendns.com  # 53.37 ms
dns.wang.art  # 53.51 ms
doh.northeu.pi-dns.com  # 54.30 ms
doh.westus.pi-dns.com  # 54.53 ms
han01.dnscry.pt  # 60.70 ms
dns.chunghwamc.com  # 72.14 ms
dns.tipsy.coffee  # 72.18 ms
dns.koala.us.to  # 72.44 ms
dns.bitdefender.net  # 75.63 ms
bluemood.me  # 77.05 ms
dns1.nextdns.io  # 77.06 ms
chromium.dns.nextdns.io  # 78.70 ms
doh.viatech.com.tw  # 81.31 ms
adblock.krctech.dev  # 83.13 ms
darkness.is.my.waifu.cz  # 83.38 ms
dns.eliv.kr  # 83.56 ms
dns.syaifullah.com  # 85.01 ms
captnemo.in  # 86.31 ms
dns.yuu-g.net  # 100.22 ms
cloudflare-dns.com  # 105.33 ms
dns.flymc.cc  # 136.28 ms
dns.slinkyman.net  # 138.16 ms
bom01.dnscry.pt  # 146.53 ms
basic.rethinkdns.com  # 151.75 ms
blitz.ahadns.com  # 152.47 ms
dns.yuzia.cc  # 152.62 ms
dns.lobbygod.com  # 153.38 ms
dns.cynthialabs.net  # 154.40 ms
doh-ipv6.crypto.sx  # 155.98 ms
dns.bibica.net  # 156.00 ms
edgy-dns.com  # 156.62 ms
dns.elemental.software  # 158.62 ms
